"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
"Igfbp4",5.54084112404598e-146,2.06710976168189,0.458,0.135,1.17415964259658e-141,"Igfbp4","0"
"Ly6c1",1.96238466893139e-139,2.79216242986003,0.31,0.048,4.1584893519325e-135,"Ly6c1","0"
"Lef1",6.05646356458794e-107,0.628742899238349,0.909,0.671,1.28342519397183e-102,"Lef1","0"
"St8sia6",1.43430687994835e-82,1.79011329253672,0.306,0.086,3.03943970929855e-78,"St8sia6","0"
"Bach2",1.88158841765658e-82,0.571017649662484,0.878,0.654,3.98727401585606e-78,"Bach2","0"
"Satb1",3.56930716881187e-77,0.602569272629511,0.87,0.618,7.56371882142924e-73,"Satb1","0"
"Tgfbr3",8.8482879462893e-61,1.49455167905365,0.314,0.12,1.87504069869817e-56,"Tgfbr3","0"
"Actn1",1.80790761626631e-59,0.814424879541743,0.605,0.369,3.83113702962995e-55,"Actn1","0"
"Pdlim4",8.90896307504407e-54,3.12581923331566,0.108,0.012,1.88789836523259e-49,"Pdlim4","0"
"Dusp10",9.45739026457976e-46,1.03741192670926,0.389,0.205,2.0041155709671e-41,"Dusp10","0"
"Ccr7",1.32853878916454e-44,0.840641039636966,0.491,0.299,2.81530654811858e-40,"Ccr7","0"
"Cd4",5.32727656942774e-44,0.847933616444094,0.461,0.249,1.12890317782743e-39,"Cd4","0"
"Cd40lg",2.38919095870219e-43,1.18066271345921,0.31,0.14,5.06293456058582e-39,"Cd40lg","0"
"Trat1",7.3457058950618e-34,1.06804056596612,0.29,0.143,1.55662853622255e-29,"Trat1","0"
"Als2cl",1.11570331227625e-32,0.923159462648261,0.357,0.209,2.36428688904459e-28,"Als2cl","0"
"Atp1b1",1.65100470825117e-31,1.28309171946954,0.223,0.1,3.49864407725506e-27,"Atp1b1","0"
"Rflnb",2.96099758363822e-30,0.771594137952209,0.413,0.26,6.27464997948774e-26,"Rflnb","0"
"St8sia1",2.14630228746492e-28,0.871073441361356,0.325,0.184,4.54822917736691e-24,"St8sia1","0"
"Myo10",5.45569313785984e-26,2.33540800943378,0.074,0.015,1.15611593284388e-21,"Myo10","0"
"Trib2",1.20454554498964e-25,1.01971110287557,0.255,0.136,2.55255246438755e-21,"Trib2","0"
"Vipr1",2.6276469699537e-24,1.39123776489639,0.162,0.07,5.56824669402888e-20,"Vipr1","0"
"Selenop",8.50410409585119e-24,0.948457090354895,0.275,0.158,1.80210469895182e-19,"Selenop","0"
"Pdk1",1.77670688883352e-22,0.799584718204452,0.324,0.203,3.76501956812711e-18,"Pdk1","0"
"Il6ra",2.34160786422901e-20,0.60938568599944,0.4,0.279,4.9621012250877e-16,"Il6ra","0"
"Ggt5",5.64514581678305e-20,1.83632524830958,0.084,0.026,1.1962628500345e-15,"Ggt5","0"
"Itgb3",1.32648286274542e-18,1.18559469409962,0.146,0.067,2.81094983444383e-14,"Itgb3","0"
"Igsf23",6.54859816476319e-18,2.23225223653268,0.054,0.012,1.38771343709497e-13,"Igsf23","0"
"Gm15708",2.98920193266087e-17,2.50265386870054,0.044,0.008,6.33441781550165e-13,"Gm15708","0"
"Itm2a",3.34202405220272e-17,1.08638878858391,0.164,0.084,7.08208316902279e-13,"Itm2a","0"
"Galnt10",7.71858707939264e-17,0.54613764171839,0.387,0.276,1.63564578799409e-12,"Galnt10","0"
"Zbtb7b",7.23891441571342e-15,1.06832803265184,0.146,0.075,1.53399835383383e-10,"Zbtb7b","0"
"Gm13546",9.50575976847258e-15,2.8363445418436,0.033,0.005,2.01436555253702e-10,"Gm13546","0"
"Gm20400",5.70664922282808e-14,1.25828126304816,0.108,0.05,1.2092960368095e-09,"Gm20400","0"
"Ndrg3",1.42657221197789e-13,0.73533189963165,0.23,0.147,3.02304917440235e-09,"Ndrg3","0"
"Hotairm1",3.58537229319746e-13,2.10017766617995,0.044,0.011,7.59776242651473e-09,"Hotairm1","0"
"Rbm38",5.10892162096539e-13,0.591570422211993,0.316,0.233,1.08263158069878e-08,"Rbm38","0"
"Mtss1",6.0986063146669e-13,0.698701394223794,0.237,0.154,1.29235566414106e-08,"Mtss1","0"
"Itga6",9.89522657552865e-13,0.539763019638986,0.322,0.231,2.09689746362028e-08,"Itga6","0"
"Rcan3",1.64544354027821e-12,1.28055444786246,0.084,0.036,3.48685940620356e-08,"Rcan3","0"
"Hmgn1",1.87009482183451e-12,0.51272488636162,0.352,0.269,3.96291793694952e-08,"Hmgn1","0"
"Trbv31",2.67593864845157e-12,1.53941604707069,0.074,0.029,5.67058158993371e-08,"Trbv31","0"
"Cers6",6.25263075574031e-12,0.796893910027243,0.178,0.108,1.32499498344893e-07,"Cers6","0"
"Ldlr",9.67791137423907e-12,1.43057860679143,0.071,0.028,2.050846199315e-07,"Ldlr","0"
"Tspan32",2.30328498513496e-11,0.531187469248964,0.309,0.226,4.88089121199949e-07,"Tspan32","0"
"Hspa1a",2.66431243387832e-11,0.749311155308118,0.222,0.149,5.64594447863155e-07,"Hspa1a","0"
"Tesc",3.60999488369913e-11,0.939006403921371,0.135,0.076,7.64994015804683e-07,"Tesc","0"
"Mfhas1",4.1555712560698e-11,0.628990848606809,0.24,0.165,8.80607104873751e-07,"Mfhas1","0"
"Gm48228",4.12189797020369e-10,1.13176856420121,0.09,0.044,8.73471398865865e-06,"Gm48228","0"
"Spsb1",6.88279140749897e-10,1.5072739765824,0.049,0.018,1.45853232716311e-05,"Spsb1","0"
"Ifngr2",1.2066228312613e-09,0.831869199149398,0.134,0.079,2.55695444172582e-05,"Ifngr2","0"
"Ddit4",2.18713438576903e-09,0.514998470106319,0.285,0.218,4.63475647688315e-05,"Ddit4","0"
"Pik3ip1",4.21167844912458e-09,0.549926487313981,0.258,0.192,8.92496780153989e-05,"Pik3ip1","0"
"Atn1",1.06559744581826e-08,0.719101298400354,0.166,0.109,0.000225810754743347,"Atn1","0"
"Pdlim1",1.06669018063391e-08,0.509078352947531,0.272,0.206,0.000226042316178133,"Pdlim1","0"
"Cd200r3",1.11085301703326e-08,3.31465821901196,0.015,0.001,0.000235400862839519,"Cd200r3","0"
"Siah3",1.16855167981487e-08,1.59207345185363,0.039,0.013,0.000247627786469569,"Siah3","0"
"Ass1",1.179161097838e-08,0.632782957081051,0.2,0.141,0.000249876028242851,"Ass1","0"
"Acvrl1",1.91715231985675e-08,2.18266707811416,0.027,0.007,0.000406263748100844,"Acvrl1","0"
"Slc49a4",2.74408261701354e-08,0.537381934414428,0.226,0.163,0.00058149854737134,"Slc49a4","0"
"Gm34006",2.92848103846843e-08,1.00596933119206,0.09,0.049,0.000620574416861845,"Gm34006","0"
"Bcl9",3.32946745958355e-08,0.822738907408184,0.112,0.065,0.000705547449360351,"Bcl9","0"
"Tmie",1.55407430208891e-07,0.991314402742864,0.082,0.044,0.00329323885355661,"Tmie","0"
"Gm15417",1.95606131730733e-07,1.63574619677037,0.036,0.013,0.00414508953750597,"Gm15417","0"
"Brdt",2.50040773405849e-07,1.96103698578692,0.025,0.007,0.00529861402924335,"Brdt","0"
"Il4ra",2.51564547598459e-07,0.538608763883811,0.223,0.167,0.00533090432815894,"Il4ra","0"
"Klhl5",2.72756106960492e-07,0.886616564645413,0.095,0.056,0.00577997466259979,"Klhl5","0"
"Arhgef11",4.30987763152902e-07,0.677360098472706,0.134,0.087,0.00913306168897314,"Arhgef11","0"
"Hspbap1",6.25280981882746e-07,0.686359586690913,0.134,0.088,0.0132503292870773,"Hspbap1","0"
"A930005H10Rik",9.51839073121252e-07,0.510864840529277,0.223,0.171,0.0201704217985124,"A930005H10Rik","0"
"A630023P12Rik",1.65527121243838e-06,0.62914832615258,0.14,0.094,0.0350768522627817,"A630023P12Rik","0"
"Sorcs2",2.59858136952239e-06,0.829586743775012,0.081,0.047,0.055066537801549,"Sorcs2","0"
"Rassf3",2.98643140267375e-06,0.636546950559416,0.158,0.113,0.0632854678540595,"Rassf3","0"
"Cbr1",3.27800935897419e-06,0.763491242121507,0.108,0.07,0.069464296326022,"Cbr1","0"
"2810001G20Rik",3.94815463836379e-06,0.822767726516706,0.09,0.055,0.083665344941567,"2810001G20Rik","0"
"Rccd1",7.46081442330511e-06,1.18138581642941,0.041,0.019,0.158102118444259,"Rccd1","0"
"Kcnmb4",8.78296308157965e-06,0.854399897159553,0.081,0.049,0.186119770661754,"Kcnmb4","0"
"Hsdl1",9.78514995932142e-06,0.581861613572609,0.151,0.108,0.20735711278798,"Hsdl1","0"
"Arhgap29",1.02859574686971e-05,1.77480921892133,0.02,0.006,0.217969724719161,"Arhgap29","0"
"Gm9889",1.44936011737737e-05,1.5134315735486,0.025,0.009,0.307133902473438,"Gm9889","0"
"Treml2",1.57291548160059e-05,0.508992001278711,0.176,0.132,0.333316519705981,"Treml2","0"
"B630019A10Rik",2.71948327655793e-05,0.602588107221596,0.121,0.083,0.576285701135391,"B630019A10Rik","0"
"Dapk1",2.89728519251661e-05,1.12225804391105,0.044,0.022,0.613963705146195,"Dapk1","0"
"Hspb11",3.73895674930184e-05,0.630875188920113,0.119,0.083,0.792322324744554,"Hspb11","0"
"Mob3b",3.79654254828647e-05,0.605721715314361,0.116,0.08,0.804525331407386,"Mob3b","0"
"Olfr1033",3.91191508214731e-05,0.706131409722338,0.097,0.064,0.828973925057836,"Olfr1033","0"
"Dlg4",4.08415596757764e-05,0.892062944055485,0.064,0.038,0.865473491089378,"Dlg4","0"
"Ly6k",4.17349387347572e-05,1.04510267043623,0.04,0.019,0.884405086728239,"Ly6k","0"
"Ttyh3",4.59479174225376e-05,0.59413163155097,0.123,0.086,0.973682318100995,"Ttyh3","0"
"Adcy6",4.83019379935395e-05,1.07440794902353,0.043,0.022,1,"Adcy6","0"
"Stmn1",6.36985649382764e-05,0.673609980059926,0.098,0.065,1,"Stmn1","0"
"Hexim1",7.9095487149958e-05,0.572463621939674,0.143,0.108,1,"Hexim1","0"
"Sit1",7.97210577584467e-05,0.602964371087656,0.13,0.095,1,"Sit1","0"
"Adh1",9.25303015292269e-05,2.37273788243666,0.011,0.002,1,"Adh1","0"
"Acvr1b",0.000104758334534486,0.744324475708055,0.067,0.041,1,"Acvr1b","0"
"Pja1",0.000107517410082171,0.638257269198038,0.101,0.069,1,"Pja1","0"
"Gm11944",0.000113110545545587,0.647041448667284,0.095,0.064,1,"Gm11944","0"
"Erc1",0.000161526952162354,0.676052239370505,0.095,0.065,1,"Erc1","0"
"Gm6213",0.00021108902850022,1.72029956377691,0.014,0.004,1,"Gm6213","0"
"Pvr",0.000232123911236915,0.806454268488298,0.06,0.037,1,"Pvr","0"
"Dnah7a",0.000233340586851117,0.640915750575787,0.106,0.076,1,"Dnah7a","0"
"Gprc5b",0.000260168466289798,1.43589659551174,0.021,0.008,1,"Gprc5b","0"
"Aicda",0.000264774729470973,1.62713356370186,0.017,0.006,1,"Aicda","0"
"Cyp2d22",0.000267740101534774,1.56144921557185,0.02,0.008,1,"Cyp2d22","0"
"Dhrs13",0.00036485658024914,1.39484100077012,0.017,0.006,1,"Dhrs13","0"
"Ube2e2",0.00041921359057448,1.02548948394245,0.03,0.015,1,"Ube2e2","0"
"Ethe1",0.000422220922314952,0.535006075697075,0.095,0.067,1,"Ethe1","0"
"Rhobtb2",0.000448822394976157,0.64843502174882,0.087,0.06,1,"Rhobtb2","0"
"Utp25",0.000479773483477645,0.729936894239412,0.074,0.049,1,"Utp25","0"
"Lipa",0.00049781620647635,0.500529201013559,0.135,0.104,1,"Lipa","0"
"Lrrc1",0.000534845931631048,0.526924412629112,0.108,0.079,1,"Lrrc1","0"
"Enc1",0.000537510996129602,0.816883098304004,0.047,0.028,1,"Enc1","0"
"Fntb",0.000621246436082831,0.520230791729883,0.112,0.083,1,"Fntb","0"
"Amigo2",0.000645411207504482,1.21096087272792,0.021,0.009,1,"Amigo2","0"
"Gm42722",0.000876852210683401,0.502697693975835,0.114,0.085,1,"Gm42722","0"
"Slc25a23",0.000886678366094062,1.05709807735638,0.04,0.023,1,"Slc25a23","0"
"Krt10",0.000896767922345083,0.991535524109113,0.038,0.021,1,"Krt10","0"
"Gabrr2",0.000944749912263451,0.780564989470711,0.041,0.024,1,"Gabrr2","0"
"Slc16a5",0.000947166647321968,0.96568407332404,0.044,0.026,1,"Slc16a5","0"
"Tbc1d30",0.000947795238943829,0.843116125011679,0.049,0.03,1,"Tbc1d30","0"
"Plekha7",0.000957812837287843,0.626947885070224,0.071,0.047,1,"Plekha7","0"
"Nacc2",0.00098714716782888,1.2006704452456,0.027,0.013,1,"Nacc2","0"
"Ecm1",0.00101049574931052,0.717590840533734,0.057,0.037,1,"Ecm1","0"
"Gucd1",0.00108843355790664,0.553983647991179,0.092,0.066,1,"Gucd1","0"
"Nfix",0.00123416428136543,0.668845962688001,0.063,0.041,1,"Nfix","0"
"Afap1",0.00123472146774723,1.01985232140575,0.034,0.019,1,"Afap1","0"
"1110032F04Rik",0.00123695953679939,1.50110387185228,0.014,0.005,1,"1110032F04Rik","0"
"E330009J07Rik",0.00144986017222547,0.655639566518527,0.06,0.039,1,"E330009J07Rik","0"
"Prrg1",0.00148346506544818,0.531179395626539,0.095,0.069,1,"Prrg1","0"
"Pcyt2",0.00149479870543817,0.584687197896991,0.095,0.07,1,"Pcyt2","0"
"Mitf",0.0015926265662091,1.02757932505922,0.033,0.019,1,"Mitf","0"
"Idi1",0.00169102746078335,0.790730096452096,0.049,0.031,1,"Idi1","0"
"Cnn3",0.00178436061901657,0.709595569652095,0.065,0.044,1,"Cnn3","0"
"A530021J07Rik",0.00186462631384213,1.37243733673535,0.019,0.008,1,"A530021J07Rik","0"
"Sfmbt2",0.00188132175028047,0.669524714576168,0.052,0.033,1,"Sfmbt2","0"
"Myo6",0.00215505055286833,1.06620875140326,0.029,0.016,1,"Myo6","0"
"2310009B15Rik",0.00229796753034241,0.558449598497188,0.092,0.068,1,"2310009B15Rik","0"
"Nckap5l",0.00237370816549788,0.574892194743096,0.084,0.061,1,"Nckap5l","0"
"Adi1",0.00250000480037355,0.569056828125889,0.079,0.056,1,"Adi1","0"
"Lypd6b",0.00251011038781506,0.547370295751527,0.087,0.063,1,"Lypd6b","0"
"Gm28809",0.00268745906021866,1.38796404992483,0.017,0.007,1,"Gm28809","0"
"2900060B14Rik",0.0028924540882173,0.981447814474914,0.03,0.017,1,"2900060B14Rik","0"
"Epas1",0.00293764924913662,1.13892334156335,0.022,0.011,1,"Epas1","0"
"Trav14-3",0.00297831299555394,1.42154926048056,0.015,0.006,1,"Trav14-3","0"
"Bach2it1",0.00321373991467634,1.684227696467,0.011,0.004,1,"Bach2it1","0"
"E230001N04Rik",0.00326000068327786,0.758429406374577,0.052,0.034,1,"E230001N04Rik","0"
"2900093K20Rik",0.00350999419186848,0.847634739338639,0.033,0.019,1,"2900093K20Rik","0"
"Ampd3",0.00366186427859069,0.714483481814825,0.049,0.032,1,"Ampd3","0"
"Sqle",0.00385749468777034,0.840141673957702,0.028,0.016,1,"Sqle","0"
"2010109A12Rik",0.00396546211885812,1.33218281494615,0.017,0.008,1,"2010109A12Rik","0"
"Cstf1",0.00406969372087879,0.674529062833391,0.057,0.039,1,"Cstf1","0"
"D830025C05Rik",0.00415594843678891,0.607464330831126,0.068,0.048,1,"D830025C05Rik","0"
"Cyp51",0.00421555950750523,0.723654986708056,0.05,0.033,1,"Cyp51","0"
"Doc2g",0.00424032378959254,1.54419515587233,0.012,0.004,1,"Doc2g","0"
"Adam15",0.00450369343386095,1.32147100820558,0.015,0.007,1,"Adam15","0"
"Mical3",0.00455195195836312,0.576806643122338,0.065,0.045,1,"Mical3","0"
"Gm45552",0.00465950138969831,0.727556216975562,0.047,0.03,1,"Gm45552","0"
"Acsl3",0.00466157476415156,0.929905862829743,0.028,0.016,1,"Acsl3","0"
"Zfand2b",0.00484928008770025,0.571381113049386,0.075,0.055,1,"Zfand2b","0"
"Lzts1",0.00502682702902502,1.35037025028673,0.014,0.006,1,"Lzts1","0"
"Thra",0.005089389770336,0.573144620514024,0.079,0.058,1,"Thra","0"
"Dntt",0.00510114307140047,1.11422149897907,0.014,0.006,1,"Dntt","0"
"Epb41l1",0.00515169060470981,1.25707041947704,0.016,0.007,1,"Epb41l1","0"
"Gm15441",0.00536850366712452,0.817408450890452,0.04,0.025,1,"Gm15441","0"
"Lef1os1",0.00553714220729345,0.759397360345508,0.042,0.027,1,"Lef1os1","0"
"Ampd1",0.00581176389399182,1.33237196678135,0.015,0.006,1,"Ampd1","0"
"Mylpf",0.00599766208238272,1.03155312625594,0.024,0.013,1,"Mylpf","0"
"Gpr146",0.00618875270452126,0.550629760544552,0.083,0.062,1,"Gpr146","0"
"Gm20324",0.00630312907284457,0.581240359307017,0.075,0.055,1,"Gm20324","0"
"2510009E07Rik",0.0063727890137645,1.05565528543906,0.02,0.01,1,"2510009E07Rik","0"
"Gm11290",0.00641109251833675,0.634103445705847,0.072,0.053,1,"Gm11290","0"
"Ldhd",0.00647964819490732,1.30278476465655,0.013,0.006,1,"Ldhd","0"
"Pygm",0.00650142137741618,1.04717401200369,0.02,0.01,1,"Pygm","0"
"Zfp319",0.00650422126626629,0.73822842932102,0.044,0.028,1,"Zfp319","0"
"Fanci",0.00674385853169052,1.10985345469475,0.021,0.011,1,"Fanci","0"
"Trbv2",0.00681564174891293,0.786305350684197,0.035,0.022,1,"Trbv2","0"
"Lbp",0.00736713865433834,1.34250601232672,0.016,0.008,1,"Lbp","0"
"Trub1",0.00789989573563667,0.836348747191282,0.038,0.024,1,"Trub1","0"
"Adrb2",0.00823953559959181,0.5630825518867,0.066,0.047,1,"Adrb2","0"
"Kalrn",0.0083402392075459,0.531499777699739,0.076,0.057,1,"Kalrn","0"
"Irf6",0.00835916443295053,0.979157721446949,0.02,0.01,1,"Irf6","0"
"Pmel",0.00855506877768265,1.10722211618302,0.02,0.011,1,"Pmel","0"
"Ldhb",0.00945050456328208,0.694977634644521,0.043,0.028,1,"Ldhb","0"
"Tbc1d16",0.00947288664137243,1.16233531661674,0.018,0.009,1,"Tbc1d16","0"
"2900005J15Rik",0.00963283861311463,1.11974819655405,0.018,0.009,1,"2900005J15Rik","0"
"1700113A16Rik",0.0098091234560627,1.02813884245678,0.018,0.009,1,"1700113A16Rik","0"
"Camkk2",0.0102034445288063,0.563744025525569,0.076,0.058,1,"Camkk2","0"
"Snn",0.0105426437474679,0.715257010985304,0.036,0.023,1,"Snn","0"
"Gm26771",0.0115188168106241,1.02558133129882,0.02,0.011,1,"Gm26771","0"
"Phldb3",0.0118134420449384,0.770936702666853,0.035,0.022,1,"Phldb3","0"
"2510046G10Rik",0.0118720250457028,0.762351169159262,0.036,0.023,1,"2510046G10Rik","0"
"Gtf2ird1",0.0118859304393822,0.772471409265227,0.026,0.015,1,"Gtf2ird1","0"
"Stau2",0.0122437157527798,1.26187339894355,0.015,0.007,1,"Stau2","0"
"Cyp2s1",0.0123364370918395,1.04313856734447,0.023,0.013,1,"Cyp2s1","0"
"Gm16536",0.0125677202774172,1.03033810026793,0.017,0.009,1,"Gm16536","0"
"Gm11707",0.0126951641251769,0.616422395146611,0.064,0.047,1,"Gm11707","0"
"Ndrg2",0.0133910666107878,0.939710958140395,0.018,0.01,1,"Ndrg2","0"
"Raver2",0.0137176276808833,0.599548297710359,0.043,0.029,1,"Raver2","0"
"Sbf2",0.0138115252168776,0.668901779017639,0.047,0.032,1,"Sbf2","0"
"Sox4",0.0148787052546087,0.620591750763735,0.039,0.026,1,"Sox4","0"
"Trav14d-3-dv8",0.0153114280359904,0.990364701481041,0.02,0.011,1,"Trav14d-3-dv8","0"
"Ighv6-6",0.0154228606153278,0.740286453295071,0.03,0.019,1,"Ighv6-6","0"
"Guca1b",0.0158051081104637,1.00746175526955,0.017,0.009,1,"Guca1b","0"
"Gm44686",0.0158364354886617,0.511210300219261,0.077,0.06,1,"Gm44686","0"
"Flt3",0.0159568054287489,1.11994271989839,0.014,0.007,1,"Flt3","0"
"Col11a2",0.0168159799601313,0.58983021240205,0.03,0.019,1,"Col11a2","0"
"Dnajb5",0.0169574143416523,1.03511282744993,0.018,0.01,1,"Dnajb5","0"
"Fam240a",0.0179767112563166,1.38017615660725,0.01,0.004,1,"Fam240a","0"
"Tm7sf2",0.0181862551744672,0.963473715628987,0.019,0.01,1,"Tm7sf2","0"
"Ankrd50",0.020867296614343,0.510185164109615,0.062,0.046,1,"Ankrd50","0"
"Smim13",0.0210250935530628,0.641308439417626,0.047,0.033,1,"Smim13","0"
"Bphl",0.0212057504476634,0.681998874438969,0.035,0.023,1,"Bphl","0"
"Amz1",0.0217687309377515,1.16411786818371,0.014,0.007,1,"Amz1","0"
"Tbx6",0.0219423713936221,0.767035763925276,0.027,0.017,1,"Tbx6","0"
"E030030I06Rik",0.0221415807001278,0.554207761643338,0.068,0.053,1,"E030030I06Rik","0"
"Zfp213",0.0221958874204069,0.623990739720496,0.045,0.032,1,"Zfp213","0"
"Siglecg",0.0222054897055029,0.757496477669549,0.029,0.019,1,"Siglecg","0"
"Ramp3",0.0224483444572215,0.768770472351485,0.025,0.015,1,"Ramp3","0"
"Lynx1",0.0230862338434085,1.35415257230212,0.012,0.006,1,"Lynx1","0"
"Cdc25a",0.0238647691121894,0.574262998390048,0.059,0.044,1,"Cdc25a","0"
"Zbtb18",0.0242527157122792,0.502361132742274,0.06,0.045,1,"Zbtb18","0"
"Gemin6",0.0251754607345882,0.651721130797855,0.035,0.024,1,"Gemin6","0"
"Rgmb",0.0256217888214153,0.655477047108291,0.039,0.027,1,"Rgmb","0"
"Qser1",0.026049668813097,0.547709281599925,0.043,0.03,1,"Qser1","0"
"Tmub1",0.0261500402349387,0.527589318248921,0.06,0.045,1,"Tmub1","0"
"Gm45155",0.0262562396677691,1.07790870025906,0.016,0.009,1,"Gm45155","0"
"Cacnb1",0.0262630651576538,0.804886558518884,0.025,0.015,1,"Cacnb1","0"
"Cand2",0.0262865678466186,1.0679120270567,0.016,0.009,1,"Cand2","0"
"Tet1",0.0276681180007499,0.658226882890989,0.037,0.026,1,"Tet1","0"
"Fbxo17",0.027770624739793,0.702038244145113,0.025,0.016,1,"Fbxo17","0"
"Spout1",0.0277974399253507,0.614508537367563,0.039,0.027,1,"Spout1","0"
"Gm17231",0.0283341045321652,1.06777500869733,0.013,0.007,1,"Gm17231","0"
"Lhfpl3",0.0285795172147502,1.02314694659391,0.013,0.007,1,"Lhfpl3","0"
"Mir17hg",0.0294309401003287,1.00628639896009,0.019,0.011,1,"Mir17hg","0"
"Zcchc24",0.0300100148211993,1.10442064411968,0.014,0.007,1,"Zcchc24","0"
"Zfp566",0.0301441263315363,0.7357223294761,0.031,0.021,1,"Zfp566","0"
"Zbtb34",0.0316351961928056,0.878430594779924,0.023,0.014,1,"Zbtb34","0"
"Nup37",0.0318433550145897,0.741688393970547,0.029,0.019,1,"Nup37","0"
"Gm16196",0.0337941482014731,0.592718062012016,0.029,0.019,1,"Gm16196","0"
"Gm16124",0.0342161214987721,0.624741545419899,0.044,0.032,1,"Gm16124","0"
"Kyat1",0.0342301141581635,0.660498177666851,0.024,0.015,1,"Kyat1","0"
"Dock4",0.0346711462334195,0.587875305688926,0.036,0.025,1,"Dock4","0"
"Snap47",0.0370959375299977,0.582355234422792,0.039,0.028,1,"Snap47","0"
"1700056E22Rik",0.0370982294682517,0.627210775092135,0.033,0.022,1,"1700056E22Rik","0"
"Tmem63b",0.0375562863781569,0.556667874930993,0.047,0.034,1,"Tmem63b","0"
"Mccc1",0.0376428334796978,0.541456939097992,0.04,0.028,1,"Mccc1","0"
